nombre_empresa,cuit,periodo_fiscal,empleados,ingresos,gastos,margen,deuda,activos,prestamos_solicitados,prestamos_aprobados,monto_solicitado,monto_aprobado,ticket_promedio_solicitado,ticket_promedio_aprobado,prestamos_cancelados,prestamos_vigentes,tiempo_cancelacion_prestamo,servicios_utilizados,transferencias,pagos,creditos,inversiones,trimestre_dias_actividad,trimestre_dias_inactividad,promedio_login_dia,total_login_dia,churn
Diaz Construcción S.A.,20691442021,2025-Q4,469,65933728.05,48198969.08,17734758.97,23234838.04,113035618.41,2,1,15012848.26,4936490.11,7506424.13,4936490.11,1,0,90,0,0,0,0,0,54,36,3.0,162.0,0
Godoy Tech,20748123114,2022-Q1,219,83320313.96,45830772.92,37489541.04,6839718.09,93936945.53,5,4,41272412.07,27131067.21,8254482.41,6782766.8,3,1,60,2,0,1,1,0,41,49,3.0,123.0,0
Godoy Tech,20748123114,2022-Q2,219,80886622.67,52069210.99,28817411.68,6572145.89,105506461.11,2,1,10591465.8,4413254.63,5295732.9,4413254.63,1,0,60,3,0,1,1,1,4,86,6.0,24.0,0
Godoy Tech,20748123114,2022-Q3,219,76065908.53,48230650.87,27835257.66,6893226.62,90439926.56,4,1,17404150.27,4067815.47,4351037.57,4067815.47,1,0,60,3,0,1,1,1,85,5,5.0,425.0,0
Godoy Tech,20748123114,2022-Q4,219,84048459.33,52531435.05,31517024.28,6664125.36,92346452.07,1,0,7357827.13,0.0,7357827.13,4441781.43,0,0,90,3,1,1,0,1,72,18,8.0,576.0,0
Godoy Tech,20748123114,2023-Q1,219,78163714.15,50194170.93,27969543.22,5972776.79,88994628.4,2,1,5268520.91,2588159.39,2634260.46,2588159.39,1,0,60,3,1,0,1,1,58,32,6.0,348.0,1
Godoy Tech,20748123114,2023-Q2,219,77813817.44,46687068.8,31126748.64,6722882.58,103244341.15,1,0,4161095.43,0.0,4161095.43,3082089.87,0,0,90,3,1,0,1,1,27,63,5.0,135.0,0
Godoy Tech,20748123114,2023-Q3,219,77335739.8,52623094.61,24712645.19,6048632.45,87223850.29,4,1,27895779.85,4746717.23,6973944.96,4746717.23,1,0,90,2,1,0,0,1,82,8,6.0,492.0,0
Godoy Tech,20748123114,2023-Q4,219,76935920.09,47547884.02,29388036.07,7341860.38,93763655.18,5,2,20027531.72,8445933.34,4005506.34,4222966.67,0,2,60,2,0,1,1,0,63,27,5.0,315.0,0
Godoy Tech,20748123114,2024-Q1,219,78013117.22,47258027.08,30755090.14,5851618.3,104193186.52,4,2,27475389.15,12221187.51,6868847.29,6110593.75,2,0,30,2,0,1,0,1,50,40,2.0,100.0,0
Godoy Tech,20748123114,2024-Q2,219,77740927.24,50774148.14,26966779.1,7212946.08,99318603.91,3,1,19319980.1,5454644.82,6439993.37,5454644.82,0,1,30,1,0,1,0,0,30,60,7.0,210.0,0
Godoy Tech,20748123114,2024-Q3,219,85512147.68,50316171.51,35195976.17,6550775.38,98182073.83,3,1,11906525.51,3934581.26,3968841.84,3934581.26,0,1,90,1,0,0,1,0,6,84,1.0,6.0,0
Godoy Tech,20748123114,2024-Q4,219,79941890.46,49250921.97,30690968.49,6327768.3,93180384.71,3,1,17155254.68,5793592.34,5718418.23,5793592.34,1,0,30,1,0,0,1,0,81,9,6.0,486.0,0
Godoy Tech,20748123114,2025-Q1,219,75363044.6,51092161.07,24270883.53,7611810.91,101609767.02,0,0,0.0,0.0,5001408.8,3576542.42,0,0,0,2,0,1,1,0,22,68,1.0,22.0,0
Godoy Tech,20748123114,2025-Q2,219,83670033.83,47702631.41,35967402.42,8242374.85,92396397.01,3,1,14071273.83,3200295.04,4690424.61,3200295.04,1,0,60,2,0,1,1,0,5,85,3.0,15.0,0
Godoy Tech,20748123114,2025-Q3,219,84971066.73,53409628.16,31561438.57,7030843.93,92878756.78,5,4,41062887.1,21261815.46,8212577.42,5315453.86,1,3,60,1,0,0,0,1,67,23,8.0,536.0,0
Godoy Tech,20748123114,2025-Q4,219,72865107.2,52792354.23,20072752.97,6010423.69,90243153.17,2,1,17621527.3,6653552.46,8810763.65,6653552.46,1,0,90,2,1,0,1,0,70,20,4.0,280.0,1
Diaz Tech,20802907126,2022-Q1,371,45555330.43,38403261.91,7152068.52,5078628.92,59073290.18,4,2,29954668.71,10295561.48,7488667.18,5147780.74,1,1,60,2,1,0,0,1,9,81,1.0,9.0,0
Diaz Tech,20802907126,2022-Q2,371,44363653.21,36595748.86,7767904.35,4135152.36,60249359.19,1,0,6566882.87,0.0,6566882.87,6971480.13,0,0,90,1,0,1,0,0,27,63,6.0,162.0,0
Diaz Tech,20802907126,2022-Q3,371,43836861.74,38917734.38,4919127.36,4949191.41,59142010.44,0,0,0.0,0.0,6546642.51,5963324.21,0,0,0,3,1,1,1,0,20,70,4.0,80.0,0
Diaz Tech,20802907126,2022-Q4,371,48207938.14,35524965.28,12682972.86,5073961.46,57993965.78,1,0,9445659.77,0.0,9445659.77,9990327.34,0,0,60,3,0,1,1,1,47,43,4.0,188.0,0
Diaz Tech,20802907126,2023-Q1,371,50190998.65,35244351.14,14946647.51,4519153.43,67707406.99,4,2,18849407.89,9416277.51,4712351.97,4708138.76,1,1,60,1,0,0,0,1,54,36,9.0,486.0,0
Diaz Tech,20802907126,2023-Q2,371,47817753.9,36807013.05,11010740.85,4883766.56,68255538.3,3,2,13840878.32,7890804.3,4613626.11,3945402.15,2,0,30,1,0,0,1,0,46,44,4.0,184.0,0
Diaz Tech,20802907126,2023-Q3,371,50456359.26,36150685.26,14305674.0,4413512.31,57211541.73,5,3,29007882.65,10714708.15,5801576.53,3571569.38,2,1,60,1,1,0,0,0,9,81,7.0,63.0,0
Diaz Tech,20802907126,2023-Q4,371,47999351.67,36502116.32,11497235.35,4317547.05,64119452.23,0,0,0.0,0.0,8127017.86,6708547.45,0,0,0,3,0,1,1,1,1,89,3.0,3.0,0
Diaz Tech,20802907126,2024-Q1,371,46651450.92,37985912.46,8665538.46,3924698.86,57033887.87,1,0,5679414.11,0.0,5679414.11,4712627.76,0,0,90,2,1,0,1,0,87,3,3.0,261.0,0
Diaz Tech,20802907126,2024-Q2,371,48168260.85,37786362.72,10381898.13,5210849.87,65042157.81,1,0,8052379.34,0.0,8052379.34,5344308.29,0,0,90,2,0,0,1,1,63,27,4.0,252.0,0
Diaz Tech,20802907126,2024-Q3,371,44150939.79,33778770.29,10372169.5,4351159.91,57808308.04,4,3,30541692.85,16948300.67,7635423.21,5649433.56,3,0,60,2,1,0,0,1,90,0,6.0,540.0,0
Diaz Tech,20802907126,2024-Q4,371,43850305.93,34779945.89,9070360.04,4897377.74,58124342.14,0,0,0.0,0.0,6059667.57,4211653.44,0,0,0,2,0,1,0,1,56,34,7.0,392.0,0
Diaz Tech,20802907126,2025-Q1,371,46273512.05,36585847.19,9687664.86,3688410.63,63951343.43,1,0,4708806.8,0.0,4708806.8,2992844.19,0,0,30,1,1,0,0,0,88,2,3.0,264.0,0
Diaz Tech,20802907126,2025-Q2,371,44330992.2,34878709.04,9452283.16,5013464.93,64401293.6,0,0,0.0,0.0,6699543.64,4876533.01,0,0,0,2,1,0,0,1,68,22,10.0,680.0,0
Diaz Tech,20802907126,2025-Q3,371,43514932.88,34534668.71,8980264.17,4161043.16,67744905.03,2,1,10477500.61,5312414.44,5238750.31,5312414.44,1,0,30,3,1,1,1,0,43,47,5.0,215.0,0
Diaz Tech,20802907126,2025-Q4,371,43073073.02,34711355.13,8361717.89,4886851.61,61082968.63,1,0,4880599.46,0.0,4880599.46,4223564.38,0,0,30,2,0,1,0,1,77,13,7.0,539.0,0
Nuñez Restaurantes S.A.,20829044154,2022-Q1,286,78992577.41,49435196.6,29557380.81,24583394.59,124510096.85,3,2,5861488.48,3618209.01,1953829.49,1809104.5,1,1,90,2,0,0,1,1,36,54,7.0,252.0,0
Nuñez Restaurantes S.A.,20829044154,2022-Q2,286,83852580.45,47330381.04,36522199.41,21537865.95,123469024.33,5,2,27947678.28,7436695.84,5589535.66,3718347.92,2,0,60,1,0,0,0,1,89,1,5.0,445.0,0
Nuñez Restaurantes S.A.,20829044154,2022-Q3,286,72184297.05,51204044.85,20980252.2,18887114.4,113565221.39,2,1,17777374.81,9119773.76,8888687.4,9119773.76,1,0,60,1,0,0,1,0,66,24,2.0,132.0,0
Nuñez Restaurantes S.A.,20829044154,2022-Q4,286,77152677.95,51433245.6,25719432.35,26271553.96,117176890.18,4,3,11336356.64,9159173.33,2834089.16,3053057.78,0,3,90,2,0,0,1,1,41,49,2.0,82.0,0
Nuñez Restaurantes S.A.,20829044154,2023-Q1,286,77339387.36,52055581.32,25283806.04,25679900.27,113459006.78,2,1,13346828.77,4076804.79,6673414.38,4076804.79,1,0,30,2,1,0,1,0,46,44,3.0,138.0,0
Nuñez Restaurantes S.A.,20829044154,2023-Q2,286,68722051.78,45349162.37,23372889.41,26042065.69,125108910.14,3,1,13433796.58,4231511.65,4477932.19,4231511.65,0,1,30,0,0,0,0,0,34,56,4.0,136.0,0
Nuñez Restaurantes S.A.,20829044154,2023-Q3,286,73590522.24,45815589.32,27774932.92,23289699.0,115978915.23,2,1,17911345.2,8937648.67,8955672.6,8937648.67,0,1,30,1,0,0,1,0,87,3,7.0,609.0,0
Nuñez Restaurantes S.A.,20829044154,2023-Q4,286,74343534.05,47593511.34,26750022.71,17568089.35,126490323.81,4,2,21901739.03,6792424.84,5475434.76,3396212.42,2,0,60,3,0,1,1,1,81,9,2.0,162.0,0
Nuñez Restaurantes S.A.,20829044154,2024-Q1,286,78681880.94,50123831.19,28558049.75,24659885.2,105403043.61,5,3,31272414.49,13093600.17,6254482.9,4364533.39,2,1,30,2,0,0,1,1,20,70,5.0,100.0,0
Nuñez Restaurantes S.A.,20829044154,2024-Q2,286,70237311.89,44478665.73,25758646.16,20315464.73,108254775.1,0,0,0.0,0.0,7044655.09,5008975.5,0,0,0,3,1,0,1,1,70,20,2.0,140.0,0
Nuñez Restaurantes S.A.,20829044154,2024-Q3,286,74195212.31,50364901.26,23830311.05,21741220.39,123359112.45,5,2,45790031.12,18499763.15,9158006.22,9249881.58,1,1,30,2,1,0,1,0,42,48,8.0,336.0,0
Nuñez Restaurantes S.A.,20829044154,2024-Q4,286,77800437.55,49469217.61,28331219.94,22020456.84,123518679.88,1,0,7178701.0,0.0,7178701.0,4482595.93,0,0,30,3,1,1,1,0,41,49,4.0,164.0,0
Nuñez Restaurantes S.A.,20829044154,2025-Q1,286,81243089.89,49585874.17,31657215.72,17714948.37,116804894.44,0,0,0.0,0.0,7675706.7,7019086.91,0,0,0,2,1,0,0,1,33,57,10.0,330.0,0
Nuñez Restaurantes S.A.,20829044154,2025-Q2,286,68955607.54,46566946.25,22388661.29,23736620.35,121290574.5,0,0,0.0,0.0,8478320.0,8223016.42,0,0,0,2,1,0,0,1,36,54,2.0,72.0,0
Nuñez Restaurantes S.A.,20829044154,2025-Q3,286,82856962.58,53190418.37,29666544.21,24503500.79,107360463.38,0,0,0.0,0.0,7980533.0,6258269.88,0,0,0,2,0,1,1,0,19,71,3.0,57.0,0
Nuñez Restaurantes S.A.,20829044154,2025-Q4,286,83641145.32,50965074.31,32676071.01,18212724.67,124774730.29,2,1,13405859.45,6967844.02,6702929.72,6967844.02,1,0,90,2,1,1,0,0,43,47,4.0,172.0,0
