CUIT,Nombre_Empresa,Tipo_Sociedad,Sector,Provincia,Año_Fundación,Empleados,Periodo_Fiscal,Ingresos,Gastos,Margen,Deuda,Activos,Prestamos_Solicitados,Prestamos_Aprobados,Prestamos_Cancelados,Prestamos_Vigentes,Ticket_Promedio_Solicitado,Ticket_Promedio_Aprobado,Monto_Solicitado,Monto_Aprobado,Tiempo_Cancelacion_Prestamo,Trimestre_Dias_Actividad,Trimestre_Dias_Inactividad,Promedio_Login_Dia,Total_Login_Dia,Transferencias,Pagos,Creditos,Inversiones,Servicios_Utilizados,Churn,Churn_Date,Telefono,Direccion
20748123114,Godoy Tech,S.A.,Tecnología,Río Negro,1999,219,2022-Q1,83320313.96,45830772.92,37489541.04,6839718.09,93936945.53,5,4,3,1,8254482.41,6782766.8,41272412.07,27131067.21,60,41,49,3.0,123,0,1,1,0,2,0,,+543516408435,Pasaje Corrientes 7169
20748123114,Godoy Tech,S.A.,Tecnología,Río Negro,1999,219,2022-Q2,80886622.67,52069210.99,28817411.68,6572145.89,105506461.11,2,1,1,0,5295732.9,4413254.63,10591465.8,4413254.63,60,4,86,6.0,24,0,1,1,1,3,0,,+543516408435,Pasaje Corrientes 7169
20748123114,Godoy Tech,S.A.,Tecnología,Río Negro,1999,219,2022-Q3,76065908.53,48230650.87,27835257.66,6893226.62,90439926.56,4,1,1,0,4351037.57,4067815.47,17404150.27,4067815.47,60,85,5,5.0,425,0,1,1,1,3,0,,+543516408435,Pasaje Corrientes 7169
20748123114,Godoy Tech,S.A.,Tecnología,Río Negro,1999,219,2022-Q4,84048459.33,52531435.05,31517024.28,6664125.36,92346452.07,1,0,0,0,7357827.13,4441781.43,7357827.13,0.0,90,72,18,8.0,576,1,1,0,1,3,0,,+543516408435,Pasaje Corrientes 7169
20748123114,Godoy Tech,S.A.,Tecnología,Río Negro,1999,219,2023-Q1,78163714.15,50194170.93,27969543.22,5972776.79,88994628.4,2,1,1,0,2634260.46,2588159.39,5268520.91,2588159.39,60,58,32,6.0,348,1,0,1,1,3,1,2023-03-31,+543516408435,Pasaje Corrientes 7169
20748123114,Godoy Tech,S.A.,Tecnología,Río Negro,1999,219,2023-Q2,77813817.44,46687068.8,31126748.64,6722882.58,103244341.15,1,0,0,0,4161095.43,3082089.87,4161095.43,0.0,90,27,63,5.0,135,1,0,1,1,3,0,,+543516408435,Pasaje Corrientes 7169
20748123114,Godoy Tech,S.A.,Tecnología,Río Negro,1999,219,2023-Q3,77335739.8,52623094.61,24712645.19,6048632.45,87223850.29,4,1,1,0,6973944.96,4746717.23,27895779.85,4746717.23,90,82,8,6.0,492,1,0,0,1,2,0,,+543516408435,Pasaje Corrientes 7169
20748123114,Godoy Tech,S.A.,Tecnología,Río Negro,1999,219,2023-Q4,76935920.09,47547884.02,29388036.07,7341860.38,93763655.18,5,2,0,2,4005506.34,4222966.67,20027531.72,8445933.34,60,63,27,5.0,315,0,1,1,0,2,0,,+543516408435,Pasaje Corrientes 7169
20748123114,Godoy Tech,S.A.,Tecnología,Río Negro,1999,219,2024-Q1,78013117.22,47258027.08,30755090.14,5851618.3,104193186.52,4,2,2,0,6868847.29,6110593.75,27475389.15,12221187.51,30,50,40,2.0,100,0,1,0,1,2,0,,+543516408435,Pasaje Corrientes 7169
20748123114,Godoy Tech,S.A.,Tecnología,Río Negro,1999,219,2024-Q2,77740927.24,50774148.14,26966779.1,7212946.08,99318603.91,3,1,0,1,6439993.37,5454644.82,19319980.1,5454644.82,30,30,60,7.0,210,0,1,0,0,1,0,,+543516408435,Pasaje Corrientes 7169
20748123114,Godoy Tech,S.A.,Tecnología,Río Negro,1999,219,2024-Q3,85512147.68,50316171.51,35195976.17,6550775.38,98182073.83,3,1,0,1,3968841.84,3934581.26,11906525.51,3934581.26,90,6,84,1.0,6,0,0,1,0,1,0,,+543516408435,Pasaje Corrientes 7169
20748123114,Godoy Tech,S.A.,Tecnología,Río Negro,1999,219,2024-Q4,79941890.46,49250921.97,30690968.49,6327768.3,93180384.71,3,1,1,0,5718418.23,5793592.34,17155254.68,5793592.34,30,81,9,6.0,486,0,0,1,0,1,0,,+543516408435,Pasaje Corrientes 7169
20748123114,Godoy Tech,S.A.,Tecnología,Río Negro,1999,219,2025-Q1,75363044.6,51092161.07,24270883.53,7611810.91,101609767.02,0,0,0,0,5001408.8,3576542.42,0.0,0.0,0,22,68,1.0,22,0,1,1,0,2,0,,+543516408435,Pasaje Corrientes 7169
20748123114,Godoy Tech,S.A.,Tecnología,Río Negro,1999,219,2025-Q2,83670033.83,47702631.41,35967402.42,8242374.85,92396397.01,3,1,1,0,4690424.61,3200295.04,14071273.83,3200295.04,60,5,85,3.0,15,0,1,1,0,2,0,,+543516408435,Pasaje Corrientes 7169
20748123114,Godoy Tech,S.A.,Tecnología,Río Negro,1999,219,2025-Q3,84971066.73,53409628.16,31561438.57,7030843.93,92878756.78,5,4,1,3,8212577.42,5315453.86,41062887.1,21261815.46,60,67,23,8.0,536,0,0,0,1,1,0,,+543516408435,Pasaje Corrientes 7169
20748123114,Godoy Tech,S.A.,Tecnología,Río Negro,1999,219,2025-Q4,72865107.2,52792354.23,20072752.97,6010423.69,90243153.17,2,1,1,0,8810763.65,6653552.46,17621527.3,6653552.46,90,70,20,4.0,280,1,0,1,0,2,1,2025-12-31,+543516408435,Pasaje Corrientes 7169
20277765900,Gonzalez Industrial,S.A.,Industria,Córdoba,1992,70,2022-Q1,74061111.7,43605427.11,30455684.59,21886546.35,102404978.46,0,0,0,0,5031661.13,3776132.6,0.0,0.0,0,67,23,2.0,134,0,1,1,0,2,0,,+54113133244,Boulevard Corrientes 1041
20277765900,Gonzalez Industrial,S.A.,Industria,Córdoba,1992,70,2022-Q2,79070679.53,41982521.16,37088158.37,19943643.68,100806053.62,5,2,2,0,6456456.66,6993091.23,32282283.3,13986182.46,30,15,75,6.0,90,0,1,1,1,3,0,,+54113133244,Boulevard Corrientes 1041
20277765900,Gonzalez Industrial,S.A.,Industria,Córdoba,1992,70,2022-Q3,77029418.18,41917363.12,35112055.06,16462135.47,104643800.37,1,0,0,0,5674668.16,5124270.24,5674668.16,0.0,90,84,6,9.0,756,1,1,0,0,2,0,,+54113133244,Boulevard Corrientes 1041
20277765900,Gonzalez Industrial,S.A.,Industria,Córdoba,1992,70,2022-Q4,71798451.3,47800612.09,23997839.21,22381126.81,97270201.71,3,1,0,1,3806428.84,3837962.75,11419286.53,3837962.75,90,10,80,9.0,90,0,0,1,0,1,0,,+54113133244,Boulevard Corrientes 1041
20277765900,Gonzalez Industrial,S.A.,Industria,Córdoba,1992,70,2023-Q1,70114260.51,43086741.6,27027518.91,22798543.73,92912804.23,0,0,0,0,5732354.07,3770427.41,0.0,0.0,0,49,41,1.0,49,1,0,0,0,1,1,2023-03-31,+54113133244,Boulevard Corrientes 1041
20277765900,Gonzalez Industrial,S.A.,Industria,Córdoba,1992,70,2023-Q2,74207265.81,48067670.98,26139594.83,18682588.25,94601679.65,5,4,2,2,4556883.93,2833185.77,22784419.66,11332743.06,60,17,73,9.0,153,0,0,0,1,1,0,,+54113133244,Boulevard Corrientes 1041
20277765900,Gonzalez Industrial,S.A.,Industria,Córdoba,1992,70,2023-Q3,66308814.27,45218334.2,21090480.07,19698210.75,90354233.22,3,2,0,2,6960286.81,4521100.03,20880860.42,9042200.06,30,76,14,9.0,684,1,1,0,1,3,0,,+54113133244,Boulevard Corrientes 1041
20277765900,Gonzalez Industrial,S.A.,Industria,Córdoba,1992,70,2023-Q4,76952372.08,47712954.04,29239418.04,21690417.79,98642789.87,4,2,1,1,8942983.95,7435194.02,35771935.78,14870388.03,90,35,55,7.0,245,1,0,0,0,1,0,,+54113133244,Boulevard Corrientes 1041
20277765900,Gonzalez Industrial,S.A.,Industria,Córdoba,1992,70,2024-Q1,71667375.65,43909698.86,27757676.79,18478728.91,95552044.48,0,0,0,0,5877351.31,5541588.06,0.0,0.0,0,22,68,3.0,66,1,1,1,1,4,0,,+54113133244,Boulevard Corrientes 1041
20277765900,Gonzalez Industrial,S.A.,Industria,Córdoba,1992,70,2024-Q2,70377010.81,46719737.49,23657273.32,22233374.65,101171506.37,1,0,0,0,6133091.63,4563497.37,6133091.63,0.0,90,16,74,8.0,128,0,0,1,1,2,0,,+54113133244,Boulevard Corrientes 1041
20277765900,Gonzalez Industrial,S.A.,Industria,Córdoba,1992,70,2024-Q3,67516396.89,47452204.0,20064192.89,16352487.12,102607386.74,3,2,0,2,5866093.65,6332096.86,17598280.96,12664193.71,30,73,17,5.0,365,1,0,1,1,3,0,,+54113133244,Boulevard Corrientes 1041
20277765900,Gonzalez Industrial,S.A.,Industria,Córdoba,1992,70,2024-Q4,69284152.01,47226708.23,22057443.78,16352123.79,100456364.25,4,1,0,1,7217522.94,6012143.03,28870091.78,6012143.03,60,62,28,6.0,372,1,1,1,1,4,0,,+54113133244,Boulevard Corrientes 1041
20277765900,Gonzalez Industrial,S.A.,Industria,Córdoba,1992,70,2025-Q1,74330425.49,50392059.83,23938365.66,16544788.58,90875214.06,4,3,0,3,7693167.97,7594393.14,30772671.89,22783179.43,30,61,29,8.0,488,0,1,1,1,3,0,,+54113133244,Boulevard Corrientes 1041
20277765900,Gonzalez Industrial,S.A.,Industria,Córdoba,1992,70,2025-Q2,70899271.97,44669304.92,26229967.05,16840431.62,91259635.98,4,3,2,1,5749981.94,5547828.99,22999927.76,16643486.96,60,16,74,6.0,96,1,1,0,1,3,0,,+54113133244,Boulevard Corrientes 1041
